region,indicator,method,year,point,lo80,hi80
Upper East,tfr_15_49,LogLinear,2025,4.026,3.259,4.792
Upper East,tfr_15_49,LogLinear,2030,3.833,3.057,4.608
Upper West,tfr_15_49,LogLinear,2025,4.191,3.67,4.713
Upper West,tfr_15_49,LogLinear,2030,3.963,3.439,4.486
Volta,tfr_15_49,LogLinear,2025,3.318,2.651,3.985
Volta,tfr_15_49,LogLinear,2030,3.064,2.41,3.719
Western,tfr_15_49,LogLinear,2025,3.413,2.936,3.89
Western,tfr_15_49,LogLinear,2030,3.185,2.712,3.658
Western North,tfr_15_49,LogLinear,2025,3.479,2.979,3.978
Western North,tfr_15_49,LogLinear,2030,3.257,2.761,3.754
Ahafo,tfr_15_49,LSTM,2025,4.057,3.546,4.677
Ahafo,tfr_15_49,LSTM,2030,3.416,2.462,4.201
Ashanti,tfr_15_49,LSTM,2025,3.311,3.034,3.489
Ashanti,tfr_15_49,LSTM,2030,3.055,1.965,4.062
Bono,tfr_15_49,LSTM,2025,3.943,3.495,4.463
Bono,tfr_15_49,LSTM,2030,3.331,2.385,4.626
Bono East,tfr_15_49,LSTM,2025,4.201,3.745,4.747
Bono East,tfr_15_49,LSTM,2030,3.563,2.393,4.835
Central,tfr_15_49,LSTM,2025,3.366,3.117,3.653
Central,tfr_15_49,LSTM,2030,3.005,1.713,4.448
Eastern,tfr_15_49,LSTM,2025,3.187,2.821,3.443
Eastern,tfr_15_49,LSTM,2030,2.969,2.018,3.835
Greater Accra,tfr_15_49,LSTM,2025,2.824,2.761,2.958
Greater Accra,tfr_15_49,LSTM,2030,2.291,1.769,2.813
North East,tfr_15_49,LSTM,2025,6.024,5.694,6.778
North East,tfr_15_49,LSTM,2030,6.193,3.875,8.15
Northern,tfr_15_49,LSTM,2025,6.384,5.423,7.153
Northern,tfr_15_49,LSTM,2030,5.68,4.142,7.139
Oti,tfr_15_49,LSTM,2025,4.183,3.494,4.976
Oti,tfr_15_49,LSTM,2030,4.02,3.099,4.874
Savannah,tfr_15_49,LSTM,2025,6.431,5.785,7.232
Savannah,tfr_15_49,LSTM,2030,5.761,4.245,7.077
Upper East,tfr_15_49,LSTM,2025,4.563,4.204,4.932
Upper East,tfr_15_49,LSTM,2030,4.045,2.082,5.58
Upper West,tfr_15_49,LSTM,2025,4.461,4.06,4.901
Upper West,tfr_15_49,LSTM,2030,3.764,2.821,4.75
Volta,tfr_15_49,LSTM,2025,3.761,3.25,4.032
Volta,tfr_15_49,LSTM,2030,3.287,2.662,4.255
Western,tfr_15_49,LSTM,2025,3.459,3.256,3.55
Western,tfr_15_49,LSTM,2030,3.055,2.282,4.093
Western North,tfr_15_49,LSTM,2025,3.477,3.209,3.614
Western North,tfr_15_49,LSTM,2030,3.09,2.364,4.11
Ahafo,asfr_15_19,RWD,2025,52.147,31.303,72.991
Ahafo,asfr_15_19,RWD,2030,39.059,5.02,73.097
Ashanti,asfr_15_19,RWD,2025,57.147,24.374,89.92
Ashanti,asfr_15_19,RWD,2030,49.059,0.0,102.576
Bono,asfr_15_19,RWD,2025,26.029,0.0,55.171
Bono,asfr_15_19,RWD,2030,9.412,0.0,57.001
Bono East,asfr_15_19,RWD,2025,86.971,72.243,101.698
Bono East,asfr_15_19,RWD,2030,78.588,54.538,102.638
Central,asfr_15_19,RWD,2025,50.206,24.777,75.635
Central,asfr_15_19,RWD,2030,33.882,0.0,75.408
Eastern,asfr_15_19,RWD,2025,59.353,33.18,85.526
Eastern,asfr_15_19,RWD,2030,49.941,7.201,92.681
