region,year,age_first_birth,age_first_marriage,any_contra_married,asfr_15_19,edu_secondary_women,mcpr_all_women,mcpr_married,tfr_15_49,unmet_need
Northern,2022,21.9,20.4,24.6,73.0,37.8,16.6,17.2,5.6,22.3
Oti,1988,20.0,18.7,14.6,141.0,,4.0,3.9,7.2,
Oti,1993,20.0,18.9,25.2,71.0,7.1,8.4,7.7,5.4,41.5
Oti,1998,20.4,18.9,21.1,80.0,54.6,11.2,12.1,4.3,39.3
Oti,2003,20.7,19.5,23.6,103.0,52.0,16.3,19.3,4.4,40.6
Oti,2008,20.4,19.2,28.6,79.0,52.4,15.7,20.5,3.8,34.8
Oti,2014,21.1,20.5,32.2,107.0,58.7,24.0,29.5,4.3,36.3
Oti,2016,,,,68.0,62.3,,,4.2,
Oti,2019,,,,90.0,58.1,,,4.1,
Oti,2022,20.6,20.7,32.0,73.0,48.9,23.6,28.5,5.2,25.7
Savannah,1988,19.3,17.8,10.7,93.0,,1.0,0.7,6.9,
Savannah,1993,20.8,19.4,11.2,133.0,3.4,4.7,5.1,6.4,30.6
Savannah,1998,20.2,18.7,10.0,131.0,11.3,5.5,5.6,6.6,31.4
Savannah,2003,21.1,19.2,12.1,87.0,12.7,7.0,7.7,7.0,35.3
Savannah,2008,20.7,19.3,5.9,96.0,23.6,4.9,5.7,6.8,32.5
Savannah,2014,20.2,18.7,11.2,93.0,23.1,9.3,10.8,6.6,27.8
Savannah,2016,,,,101.0,27.4,,,6.9,
Savannah,2019,,,,96.0,27.6,,,5.9,
Savannah,2022,20.9,20.2,23.4,116.0,31.8,16.6,19.1,5.8,21.4
Upper East,1988,19.3,17.8,10.7,93.0,,1.0,0.7,6.9,
Upper East,1993,20.1,18.3,10.2,115.0,8.3,8.3,7.2,5.7,29.2
Upper East,1998,20.8,18.8,9.0,42.0,16.3,7.4,7.5,4.4,26.6
Upper East,2003,19.9,18.3,11.9,83.0,15.8,8.0,9.7,4.7,38.9
Upper East,2008,19.5,17.8,14.7,64.0,27.0,11.3,14.3,4.1,33.7
Upper East,2014,20.2,18.9,23.7,71.0,32.9,18.3,23.3,4.9,26.5
Upper East,2016,,,,57.0,38.3,,,4.2,
Upper East,2019,,,,86.0,41.8,,,4.4,
Upper East,2022,21.0,20.0,35.5,70.0,56.8,24.7,30.9,4.6,17.9
Upper West,1988,19.3,17.8,10.7,93.0,,1.0,0.7,6.9,
Upper West,1993,21.0,18.8,6.6,115.0,3.1,5.0,5.1,5.2,30.1
Upper West,1998,21.2,19.2,11.9,74.0,16.1,7.9,9.1,5.9,32.4
Upper West,2003,20.5,19.1,26.3,68.0,21.5,15.8,19.5,5.5,25.3
Upper West,2008,19.5,18.1,21.7,70.0,28.4,17.0,20.5,5.0,28.6
Upper West,2014,20.5,18.9,25.2,70.0,31.3,19.4,24.8,5.2,27.5
Upper West,2016,,,,42.0,42.3,,,4.3,
Upper West,2019,,,,90.0,37.6,,,4.3,
Upper West,2022,22.1,21.1,36.8,57.0,47.2,26.8,33.8,4.5,17.8
Volta,1988,20.0,18.7,14.6,141.0,,4.0,3.9,7.2,
Volta,1993,20.0,18.9,25.2,71.0,7.1,8.4,7.7,5.4,41.5
Volta,1998,20.4,18.9,21.1,80.0,54.6,11.2,12.1,4.3,39.3
Volta,2003,20.7,19.5,23.6,103.0,52.0,16.3,19.3,4.4,40.6
